# length,centers=4880,roads=4879,wlines=4879,trees=4879
# center_x,center_y,road_x0,road_y0,road_x1,road_y1,line_x0,line_y0,line_x1,line_y1,tree_fg,tree_x,tree_y,tree_r,tree_col
138526327.01396897,46125831.42331996,138526365.92665616,46125822.16034113,138526288.1012818,46125840.68629879,138526328.95960334,46125830.960171014,138526325.0683346,46125831.8864689,0,0,0,0,0
138526320.8355499,46125805.46850634,138526359.97276062,46125797.205411546,138526281.69833916,46125813.73160114,138526322.79241043,46125805.0553516,138526318.87868935,46125805.88166109,0,0,0,0,0
138526315.33929998,46125779.43614239,138526354.6733535,46125772.16756392,138526276.00524646,46125786.70472086,138526317.30600265,46125779.07271347,138526313.3725973,46125779.79957131,0,0,0,0,0
138526310.5159027,46125753.334234364,138526350.0197017,46125747.05332165,138526271.0121037,46125759.61514708,138526312.49109265,46125753.02018873,138526308.54071274,46125753.64828,0,0,0,0,0
138526306.35604152,46125727.17078848,138526346.00316477,46125721.869315244,138526266.70891827,46125732.47226172,138526308.33839768,46125726.90571482,138526304.37368536,46125727.43586215,0,0,0,0,0
138526302.8503999,46125700.95381092,138526342.61518213,46125696.62228747,138526263.0856177,46125705.28533438,138526304.83863902,46125700.73723475,138526300.8621608,46125701.1703871,0,0,0,0,0
138526299.9896613,46125674.69130794,138526339.84726024,46125671.31909696,138526260.13206238,46125678.06351892,138526301.98254126,46125674.52269739,138526297.99678135,46125674.85991849,1,138526427.5339779,46125663.9002328,26,2
138526297.7645091,46125648.391285725,138526337.69096,46125645.96671971,138526257.83805823,46125650.81585174,138526299.76083165,46125648.270057425,138526295.76818657,46125648.512514025,0,0,0,0,0
138526296.1656268,46125622.0617505,138526336.1378845,46125620.572249085,138526256.1933691,46125623.55125192,138526298.16423967,46125621.98727543,138526294.1670139,46125622.13622557,0,0,0,0,0
138526295.1836979,46125595.7107085,138526335.17966753,46125595.142893724,138526255.1877283,46125596.278523274,138526297.1834964,46125595.68231776,138526293.18389943,46125595.739099234,0,0,0,0,0
138526294.80940577,46125569.34616592,138526334.80796236,46125569.68597592,138526254.8108492,46125569.00635592,138526296.8093336,46125569.363156416,138526292.80947796,46125569.32917542,0,0,0,0,0
138526295.0334339,46125542.97612899,138526335.014432,46125544.208926715,138526255.05243582,46125541.74333126,138526297.03248382,46125543.03776887,138526293.034384,46125542.914489105,0,0,0,0,0
138526295.84646577,46125516.60860392,138526335.79073995,46125518.71928172,138526255.90219158,46125514.497926116,138526297.8436795,46125516.71413781,138526293.84925205,46125516.50307003,0,0,0,0,0
138526297.23918477,46125490.25159693,138526337.12854177,46125493.22467579,138526257.34982777,46125487.278518066,138526299.23365262,46125490.40025087,138526295.2447169,46125490.10294299,0,0,0,0,0
138526299.20227447,46125463.91311425,138526339.01947832,46125467.732836306,138526259.38507062,46125460.09339219,138526301.19313467,46125464.104100354,138526297.21141428,46125463.722128145,1,138526696.378883,46125502.01484178,30,2
138526301.72641817,46125437.601162076,138526341.45516884,46125442.251578204,138526261.9976675,46125432.95074595,138526303.7128557,46125437.83368288,138526299.73998064,46125437.36864127,0,0,0,0,0
138526304.80229935,46125411.32374664,138526344.42581934,46125416.7988415,138526265.17877936,46125405.848651774,138526306.78347534,46125411.59750138,138526302.82112336,46125411.04999189,1,138526508.86342728,46125439.520485185,47,1
138526308.4270248,46125385.09143736,138526347.91601598,46125391.46478627,138526268.93803364,46125378.718088455,138526310.40147436,46125385.41010481,138526306.45257527,46125384.77276991,1,138526147.5093858,46125359.120040566,40,0
138526312.64854345,46125358.93509247,138526351.96125203,46125366.3182451,138526273.33583486,46125351.551939845,138526314.61417887,46125359.304250106,138526310.68290803,46125358.56593484,1,138526411.91313267,46125377.577552855,29,1
138526317.5389815,46125332.89521822,138526356.6244911,46125341.39950775,138526278.4534719,46125324.39092869,138526319.493257,46125333.3204327,138526315.584706,46125332.47000375,0,0,0,0,0
138526323.17061216,46125307.01237953,138526361.9678433,46125316.74761742,138526284.37338102,46125297.27714163,138526325.11047372,46125307.499141425,138526321.2307506,46125306.52561763,1,138526573.41275293,46125369.80466394,27,2
138526329.6157088,46125281.327141345,138526368.0525381,46125292.40008831,138526291.1788795,46125270.25419438,138526331.53755027,46125281.88078869,138526327.69386733,46125280.773494,0,0,0,0,0
138526336.94654468,46125255.880068585,138526374.93918794,46125268.39242479,138526298.9539014,46125243.36771238,138526338.84617683,46125256.505686395,138526335.04691252,46125255.254450776,1,138526638.98805863,46125355.35330044,35,2
138526345.2353932,46125230.71172622,138526382.68819273,46125244.75764406,138526307.78259367,46125216.66580838,138526347.10803318,46125231.41402211,138526343.3627532,46125230.00943033,1,138526172.9525154,46125166.10050416,30,5
138526354.5545276,46125205.86267919,138526391.36029986,46125221.5258567,138526317.74875537,46125190.19950168,138526356.39481622,46125206.64583807,138526352.714239,46125205.079520315,1,138526591.03161424,46125306.49859471,30,2
138526364.97622117,46125181.37349241,138526401.01732096,46125198.72397155,138526328.9351214,46125164.02301327,138526366.77827618,46125182.241016366,138526363.17416617,46125180.50596846,0,0,0,0,0
138526376.5727473,46125157.28473085,138526411.7229759,46125176.37560372,138526341.42251867,46125138.19385798,138526378.33025873,46125158.239274494,138526374.81523585,46125156.33018721,0,0,0,0,0
138526389.41637918,46125133.63695945,138526423.54379854,46125154.501265034,138526355.28895983,46125112.77265386,138526391.12275016,46125134.68017473,138526387.7100082,46125132.593744166,0,0,0,0,0
138526403.5793902,46125110.470743135,138526436.53640953,46125133.138669305,138526370.62237087,46125087.802816965,138526405.22724116,46125111.60413944,138526401.93153924,46125109.33734683,0,0,0,0,0
138526419.12957186,46125087.86225069,138526450.6172263,46125112.53060322,138526387.6419174,46125063.193898164,138526420.70395458,46125089.09566832,138526417.55518913,46125086.62883306,1,138526338.04886162,46125024.341242924,50,0
138526436.0944369,46125066.20763034,138526465.63296923,46125093.17937681,138526406.5559046,46125039.23588386,138526437.57136354,46125067.55621766,138526434.6175103,46125064.85904301,0,0,0,0,0
138526454.48020753,46125046.07216449,138526481.41811022,46125075.6415642,138526427.54230484,46125016.502764784,138526455.82710266,46125047.55063447,138526453.1333124,46125044.59369451,1,138526346.05514923,46124927.05533068,49,2
138526474.29291296,46125028.02266954,138526497.76521754,46125060.41172505,138526450.82060838,46124995.633614026,138526475.46652818,46125029.64212231,138526473.11929774,46125026.403216764,0,0,0,0,0
138526495.53858227,46125012.62596182,138526514.45713624,46125047.86923515,138526476.6200283,46124977.382688485,138526496.48450997,46125014.38812549,138526494.59265456,46125010.86379815,0,0,0,0,0
138526518.22324464,46125000.44885767,138526531.4999961,46125038.18117632,138526504.94649318,46124962.716539025,138526518.88708222,46125002.335473605,138526517.55940706,46124998.56224174,1,138526573.9856008,46125158.924596,35,0
138526542.32778382,46124991.96726981,138526550.0389418,46125031.21695825,138526534.61662585,46124952.71758137,138526542.7133417,46124993.92975423,138526541.94222593,46124990.00478539,0,0,0,0,0
138526567.6492441,46124986.992509805,138526570.6146335,46125026.88243918,138526564.6838547,46124947.10258043,138526567.79751357,46124988.98700628,138526567.50097463,46124984.99801333,0,0,0,0,0
138526593.90304914,46124985.04082034,138526593.03148702,46125025.031323954,138526594.77461126,46124945.05031672,138526593.85947102,46124987.04034552,138526593.94662726,46124983.041295156,0,0,0,0,0
138526620.8042537,46124985.62711131,138526616.9501824,46125025.44100504,138526624.658325,46124945.81321757,138526620.61155012,46124987.617805995,138526620.99695727,46124983.63641662,0,0,0,0,0
138526648.06791267,46124988.26629264,138526641.98470986,46125027.8010197,138526654.15111548,46124948.73156558,138526647.76375252,46124990.24302899,138526648.37207282,46124986.28955629,1,138526704.79377896,46124619.60496283,40,0
138526675.40908104,46124992.47327432,138526667.75452986,46125031.73404159,138526683.06363222,46124953.212507054,138526675.02635348,46124994.43631268,138526675.7918086,46124990.51023596,0,0,0,0,0
138526702.5432341,46124997.76353678,138526693.76839298,46125036.7891971,138526711.31807524,46124958.73787646,138526702.10449207,46124999.7148198,138526702.98197615,46124995.812253766,1,138526729.9646126,46124875.80834828,30,4
138526729.27552274,46125003.774238035,138526719.4962867,46125042.56040235,138526739.0547588,46124964.98807372,138526728.78656092,46125005.713546254,138526729.76448455,46125001.83492982,0,0,0,0,0
138526755.6114342,46125010.41436601,138526744.90445882,46125048.95474325,138526766.31840956,46124971.87398876,138526755.07608542,46125012.34138487,138526756.14678296,46125008.48734714,0,0,0,0,0
138526781.58360302,46125017.62974354,138526770.02923346,46125055.92460669,138526793.1379726,46124979.33488039,138526781.00588456,46125019.544486694,138526782.1613215,46125015.71500038,1,138526706.48020074,46125266.546354,33,1
138526807.22466365,46125025.36619346,138526794.90604386,46125063.42209454,138526819.54328343,46124987.31029238,138526806.60873267,46125027.26898851,138526807.84059462,46125023.463398404,0,0,0,0,0
138526832.56725052,46125033.569538616,138526819.56954917,46125071.39888912,138526845.56495187,46124995.740188114,138526831.91736546,46125035.46100614,138526833.21713558,46125031.67807109,0,0,0,0,0
138526857.6439981,46125042.185601845,138526844.05376565,46125079.806149185,138526871.23423052,46125004.565054506,138526856.96448645,46125044.066629216,138526858.32350972,46125040.304574475,0,0,0,0,0
